university_name,subject,university_type,location,country,year_of_establish,IELTS,TOEFL,PTE,GRE,GMAT,SAT,tuition_fees_usd,duration_months
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Executive MBA (EMBA),Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,1,0,93500.0,20.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Finance,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,1,0,85807.0,12.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Business Analytics,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,1,0,87740.0,12.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Chemical Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,1,0,0,49580.0,18.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Masters in System Design and Management,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,1,0,59100.0,12.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Masters in Leaders for Global Operations,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,1,0,74200.0,24.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Business Administration (MBA),Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,1,1,0,74200.0,24.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Materials Science and Engin...,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,49580.0,24.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Mechanical Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,1,0,0,49580.0,24.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Engineering in Civil and Environmental...,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,0,0,49580.0,9.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),MSc in Management Studies,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,1,1,0,74200.0,9.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Mechanical Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),BSc in Management Science,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Electrical Science and En...,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Physics,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Materials Science and Eng...,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Biological Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Chemistry,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),BS Civil and Environmental Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,48140.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Computer Science and Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Architecture,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,1,0,0,0,1,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Chemical Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Civil Engineering,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Mathematics,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,0,0,0,0,0,0,53450.0,48.0
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Architecture,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861.0,1,1,0,1,0,0,49580.0,30.0
STANFORD UNIVERSITY,Master of Science (MSc) in Civil & Environme...,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891.0,0,1,0,1,0,0,36330.0,12.0
STANFORD UNIVERSITY,M.Sc. in Statistics,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891.0,0,0,0,0,0,0,52479.0,18.0
STANFORD UNIVERSITY,Masters in Management Science and Engineering,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891.0,0,0,0,0,0,0,55905.0,18.0
