university_name,subject,duration,tuition_fees,application_fees,exams_accepted,university_type,location,country,year_of_establish,university_website,IELTS,TOEFL,PTE,GRE,GMAT,SAT
QUEST INTERNATIONAL UNIVERSITY PERAK,Master of Business Management (MBA),,AUD,,IELTS,Private,"Plaza Teh Teng Seng, 227, Jalan Raja Permaisuri Bainun, 30250 Ipoh, Negeri Perak, Malaysia ,  Perak",Malaysia,2008,  http://www.qiup.edu.my/,Yes,No,No,No,No,No
QUEST INTERNATIONAL UNIVERSITY PERAK,N/A,N/A,N/A,N/A,N/A,Private,"Plaza Teh Teng Seng, 227, Jalan Raja Permaisuri Bainun, 30250 Ipoh, Negeri Perak, Malaysia ,  Perak",Malaysia,2008,  http://www.qiup.edu.my/,No,No,No,No,No,No
QUEST INTERNATIONAL UNIVERSITY PERAK,N/A,N/A,N/A,N/A,N/A,Private,"Plaza Teh Teng Seng, 227, Jalan Raja Permaisuri Bainun, 30250 Ipoh, Negeri Perak, Malaysia ,  Perak",Malaysia,2008,  http://www.qiup.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Bachelor (Hons) in Early Childhood Education,36 Months,MYR,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Master of Business Administration,1 Year,MYR 22400,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Master of Accounting and Finance,1.5 Year,MYR 20000,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Master of Project Management,1.5 Year,MYR 22400,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Masters in Counselling,1.5 Year,MYR 20000,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Diploma in information technology,2 Year,MYR 11200,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Master of Executive Management,2 Year,MYR 22400,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Diploma in Business,2 Year,MYR 18100,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Communication (Hons) (Media Studies),3 Year,MYR 23400,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Management (Hons),3 Year,MYR 22500,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Economics (Hons),3 Year,MYR 19000,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Business (Marketing) (Hons),3 Year,MYR 24200,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Information Technology (Hons) Mobile...,3 Year,MYR 18900,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Information Technology (Hons),3 Year,MYR 18900,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Bachelor of Psychology (Hons),3 Year,MYR 26900,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Arts in Communication,3 Year,MYR 58300,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Bachelor of Computer Science (Hons) Games & ...,3 Year,MYR 18900,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Communication (Hons) (Public Relatio...,3 Year,MYR 23400,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Tourism Management (Hons),3 Year,MYR 22300,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Business (2+1) with University of Qu...,3 Year,MYR,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Bachelor of Business (Accounting) (Hons),3 Year,MYR 24200,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
HELP UNIVERSITY,Bachelor of Business (Entrepreneurship) (Hons),3 Year,MYR 22500,,"IELTS , TOEFL",Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,Yes,Yes,No,No,No,No
HELP UNIVERSITY,Bachelor of Business (Finance) (Hons),3 Year,MYR 24200,,,Established : 1986,"Jalan Semantan, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia ,  Johor",Malaysia,N/A,  http://www.help.edu.my/,No,No,No,No,No,No
