university_name,subject,duration,tuition_fees,application_fees,exams_accepted,university_type,location,country,year_of_establish,university_website,IELTS,TOEFL,PTE,GRE,GMAT,SAT
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Executive MBA (EMBA),20 Months,USD 93500,,"GMAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Finance,1 Year,USD 85807,,"GMAT , GRE , IELTS , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Business Analytics,1 Year,USD 87740,,"GMAT , GRE , IELTS , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Chemical Engineering,1.5 Year,USD 49580,,"GRE , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,Yes,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Masters in System Design and Management,12 Month,USD 59100,,"GMAT , GRE , IELTS , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Masters in Leaders for Global Operations,2 Year,USD 74200,,"GMAT , GRE , IELTS , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Business Administration (MBA),2 Year,USD 74200,,"GMAT , GRE",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Materials Science and Engin...,2 Year,USD 49580,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Science in Mechanical Engineering,2 Year,USD 49580,,GRE,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,Yes,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Engineering in Civil and Environmental...,9 Month,USD 49580,,"GRE , IELTS , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),MSc in Management Studies,9 Month,USD 74200,,"GMAT , GRE",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,Yes,Yes,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Mechanical Engineering,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),BSc in Management Science,4 Year,USD 53450,,"TOEFL , SAT",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Electrical Science and En...,4 Year,USD 53450,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Physics,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Materials Science and Eng...,4 Year,USD 53450,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Biological Engineering,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Chemistry,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),BS Civil and Environmental Engineering,4 Year,USD 48140,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Computer Science and Engineering,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Architecture,4 Year,USD 53450,,"SAT , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,Yes,No,No,No,Yes
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Chemical Engineering,4 Year,USD 53450,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Civil Engineering,4 Year,USD 53450,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Bachelor of Science in Mathematics,4 Year,USD 53450,,,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),Master of Architecture,2.5 Year,USD 49580,,"GRE 2018-2019 , IELTS 2019 , TOEFL",Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,Yes,Yes,No,Yes,No,No
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),N/A,N/A,N/A,N/A,N/A,Private,"77 Massachusetts Ave, Cambridge, MA 02139, USA, Massachusetts",USA,1861,  http://web.mit.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Master of Science (MSc) in Civil & Environme...,1 Year,USD 36330,,"GRE , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,Yes,No,No
STANFORD UNIVERSITY,M.Sc. in Statistics,18 Month,USD 52479,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Masters in Management Science and Engineering,18 Month,USD 55905,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,MS in Management,12 Month,USD 132900,,"GMAT , GRE , IELTS , TOEFL , PTE",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,Yes,Yes,Yes,Yes,Yes,No
STANFORD UNIVERSITY,MD,6 Year,USD 50715,,TOEFL,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,No
STANFORD UNIVERSITY,Masters Degree Programmes,6 Year,USD 50715,,TOEFL,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,No
STANFORD UNIVERSITY,Master of Science in Materials Science and Engin...,2 Year,USD 36330,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Master of Science in Medicine,2 Year,USD 44184,,TOEFL,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,No
STANFORD UNIVERSITY,Master in Business Administration (MBA),2 Year,USD 73062,,"GMAT , GRE , IELTS , TOEFL , PTE",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,Yes,Yes,Yes,Yes,Yes,No
STANFORD UNIVERSITY,MS in Mechanical Engineering,2 Year,USD 36330,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,MSc in Computer Science,2 Year,USD 36330,,"GRE , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,Yes,No,No
STANFORD UNIVERSITY,Master of Science (M.Sc) in Chemical Engineering,2 Year,USD 36330,,"GRE , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,Yes,No,No
STANFORD UNIVERSITY,Master of Science in Electrical Engineering,3 Year,USD 36330,,"GRE , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,Yes,No,No
STANFORD UNIVERSITY,B.E/B.Tech in Architecture Design,4 Year,USD 52857,,"SAT , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,Yes
STANFORD UNIVERSITY,B.sc in Computer Science,4 Year,USD 52857,,SAT,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,Yes
STANFORD UNIVERSITY,Bachelor of Science in Physics,4 Year,USD 52857,,SAT,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,Yes
STANFORD UNIVERSITY,Bachelor of Science in Mechanical Engineering,4 Year,USD 52857,,"SAT , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,Yes
STANFORD UNIVERSITY,Bachelor of Science in Management Science and En...,4 Year,USD 50703,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Bachelor of Science in Civil Engineering,4 Year,USD 52857,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Bachelor of Science in Mathematics,4 Year,USD 52857,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Bachelor of Science Product Design,4 Year,USD 52857,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Bachelor of Science in Biology,4 Year,USD 52857,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
STANFORD UNIVERSITY,Bachelor of Science in Chemistry,4 Year,USD 52857,,"SAT , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,Yes
STANFORD UNIVERSITY,Bachelor of Science (BSc) in Electrical Engineer...,4 Year,USD 52857,,"SAT , TOEFL",Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,Yes,No,No,No,Yes
STANFORD UNIVERSITY,Bachelor of Arts in Economics,4 Year,USD 52857,,SAT,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,Yes
STANFORD UNIVERSITY,JD Program,4 Year,USD 52350,,,Private,"450 Serra Mall, Stanford, CA 94305, USA, California",USA,1891,  http://www.stanford.edu/,No,No,No,No,No,No
